QueryNumber;QueryText
00087;what IS the role OF fungi IN the pathogenesi OF lung diseas IN CF patients?
00088;what IS the role OF viral infect IN the lung diseas OF CF patients?
00089;what IS the epidemiolog OF pseudomona aeruginosa IN CF patients? specifically, DO CF patient spread pseudomona aeruginosa TO other patient OR TO other individu (family)?
00090;what factor are respons for the appear OF mucoid strain OF pseudomona aeruginosa IN CF patients?
00091;what are the unusu manifest OF CF (other than lung diseas OR exocrin pancreat insufficiency)?
00092;what IS the prognosi for surviv OF patient with cf?
00094;what anim model are avail which are relev TO cf?
00095;what abnorm OF skelet muscl function OR structur have been found IN CF patients?
00096;IS there AN increas incid OF dental problem (eg, cari OR periodont disease) IN CF patients?
00097;IS oxygen transport BY red blood cell abnorm IN CF patients?
00098;what are the effect OF CF ON the develop and/or function OF the brain and central nervou system?
00099;are there abnorm OF tast IN CF patients?
00100;what IS the incid OF and treatment for hypertroph osteoarthropathi IN CF patients?
